N	num_bits	den_bits	lambda_bits	cancellation_g	g_factorization	v2_num	v3_g	u_num_mod_17	u_num_mod_19	u_num_mod_29	u_num_mod_31	u_num_mod_43	u_num_mod_59	u_num_mod_101	u_num_mod_251	u_num_mod_1009	u_lcd_mod_17	u_lcd_mod_19	u_lcd_mod_29	u_lcd_mod_31	u_lcd_mod_43	u_lcd_mod_59	u_lcd_mod_101	u_lcd_mod_251	u_lcd_mod_1009	code1	code2	code3	code4
864	83011	104232	104234	3	3	868	1	4	9	11	15	12	54	90	224	935	12	8	4	14	36	44	68	170	787	7	75	752	7528
865	83114	104359	104361	3	3	869	1	12	6	13	27	0	54	5	238	766	2	18	10	19	0	44	15	212	280	5	52	528	5288
866	83209	104480	104481	3	3	870	1	1	5	5	9	1	57	16	143	122	3	15	15	27	3	53	48	178	366	2	28	288	2886
867	83305	104600	104602	3	3	871	1	5	16	4	2	39	32	67	51	720	15	10	12	6	31	37	100	153	142	8	88	886	8865
868	83399	104718	104720	3	3	872	1	11	5	2	13	8	19	18	156	451	16	15	6	8	24	57	54	217	344	8	86	865	8658
869	83488	104832	104840	219	3*73	873	1	12	16	7	16	18	36	49	224	518	10	8	25	1	29	37	25	111	434	6	65	658	6587
870	83593	104961	104963	3	3	874	1	15	10	13	4	26	26	78	22	305	11	11	10	12	35	19	32	66	915	5	58	587	5875
871	83688	105082	105083	3	3	875	1	5	1	11	12	32	16	81	132	56	15	3	4	5	10	48	41	145	168	8	87	875	8753
872	83782	105200	105201	3	3	876	1	7	10	19	17	34	47	58	186	629	4	11	28	20	16	23	73	56	878	7	75	753	7533
873	83880	105322	105324	3	3	877	1	13	16	13	21	33	39	44	179	535	5	10	10	1	13	58	31	35	596	5	53	533	5332
874	83974	105440	105442	3	3	878	1	0	1	21	3	13	33	10	70	867	0	3	5	9	39	40	30	210	583	3	33	332	3320
875	84072	105563	105565	3	3	879	1	2	11	10	11	29	20	17	2	164	6	14	1	2	1	1	51	6	492	3	32	320	3208
876	84165	105681	105683	3	3	880	1	6	6	21	30	15	29	68	14	639	1	18	5	28	2	28	2	42	908	2	20	208	2083
877	84263	105804	105805	3	3	881	1	7	10	15	10	8	38	27	132	564	4	11	16	30	24	55	81	145	683	0	8	83	838
878	84359	105924	105926	3	3	882	1	14	6	0	14	24	38	66	184	378	8	18	0	11	29	55	97	50	125	8	83	838	8381
879	84453	106042	106044	3	3	883	1	3	15	26	0	12	9	48	33	639	9	7	20	0	36	27	43	99	908	3	38	381	3814
880	84551	106165	106166	3	3	884	1	10	6	28	12	37	15	85	40	811	13	18	26	5	25	45	53	120	415	8	81	814	8142
881	84647	106285	106287	3	3	885	1	11	10	9	23	27	17	37	223	577	16	11	27	7	38	51	10	167	722	1	14	142	1420
882	84742	106406	106407	3	3	886	1	1	13	11	9	29	15	95	187	654	3	1	4	27	1	45	83	59	953	4	42	420	4206
883	84838	106526	106527	3	3	887	1	9	18	5	10	5	4	86	133	99	10	16	15	30	15	12	56	148	297	2	20	206	2061
884	84925	106637	106639	3	3	888	1	12	6	5	17	24	13	60	174	497	2	18	15	20	29	39	79	20	482	0	6	61	617
885	85023	106760	106761	3	3	889	1	12	7	5	29	6	18	60	144	828	2	2	15	25	18	54	79	181	466	6	61	617	6171
886	85121	106882	106889	87	3*29	890	1	2	16	27	25	4	7	67	85	203	4	5	0	5	4	19	72	116	508	1	17	171	1717
887	85222	107007	107009	3	3	891	1	5	5	11	14	18	34	83	180	140	15	15	4	11	11	43	47	38	420	7	71	717	7177
888	85317	107128	107129	3	3	892	1	1	14	20	27	14	12	45	117	227	3	4	2	19	42	36	34	100	681	1	17	177	1776
889	85409	107243	107245	3	3	893	1	15	10	19	24	19	34	12	46	644	11	11	28	10	14	43	36	138	923	7	77	776	7766
890	85509	107368	107370	3	3	894	1	12	11	26	5	1	48	83	97	43	2	14	20	15	3	26	47	40	129	7	76	766	7669
891	85605	107489	107490	3	3	895	1	10	12	16	26	9	9	51	64	416	13	17	19	16	27	27	52	192	239	6	66	669	6691
892	85701	107609	107611	3	3	896	1	9	12	18	27	3	36	36	90	394	10	17	25	19	9	49	7	19	173	6	69	691	6914
893	85794	107727	107729	3	3	897	1	10	16	20	27	9	16	93	64	466	13	10	2	19	27	48	77	192	389	9	91	914	9147
894	85890	107848	107849	3	3	898	1	15	2	4	5	12	3	40	187	619	11	6	12	15	36	9	19	59	848	1	14	147	1473
895	85980	107962	107964	3	3	899	1	5	5	7	19	35	42	34	32	579	15	15	21	26	19	8	1	96	728	4	47	473	4730
896	86084	108091	108092	3	3	900	1	16	1	14	23	42	5	82	159	286	14	3	13	7	40	15	44	226	858	7	73	730	7303
897	86177	108209	108210	3	3	901	1	3	14	1	25	22	50	29	162	50	9	4	3	13	23	32	87	235	150	3	30	303	3035
898	86276	108331	108333	3	3	902	1	10	0	13	29	42	57	98	80	813	13	0	10	25	40	53	92	240	421	0	3	35	359
899	86369	108449	108451	3	3	903	1	5	9	15	13	17	51	76	249	673	15	8	16	8	8	35	26	245	1	3	35	359	3598
900	86467	108572	108574	3	3	904	1	7	6	19	19	11	42	69	229	568	4	18	28	26	33	8	5	185	695	5	59	598	5982
901	86561	108690	108692	3	3	905	1	16	5	14	27	18	53	58	20	964	14	15	13	19	11	41	73	60	874	9	98	982	9825
902	86659	108813	108814	3	3	906	1	4	1	26	7	2	36	2	24	951	12	3	20	21	6	49	6	72	835	8	82	825	8253
903	86755	108933	108935	3	3	907	1	8	18	24	4	14	44	86	128	738	7	16	14	12	42	14	56	133	196	2	25	253	2534
904	86848	109051	109053	3	3	908	1	10	18	25	26	31	28	59	80	78	13	16	17	16	7	25	76	240	234	5	53	534	5349
905	86946	109174	109175	3	3	909	1	2	15	25	25	33	41	7	213	95	6	7	17	13	13	5	21	137	285	3	34	349	3490
906	87042	109294	109296	3	3	910	1	1	13	23	25	1	7	22	184	937	3	1	11	13	3	21	66	50	793	4	49	490	4904
907	87138	109415	109416	3	3	911	1	8	15	20	5	18	9	10	123	953	7	7	2	15	11	27	30	118	841	9	90	904	9042
908	87234	109535	109537	3	3	912	1	16	2	12	15	30	40	49	221	691	14	6	7	14	4	2	46	161	55	0	4	42	428
909	87325	109651	109652	3	3	913	1	11	17	8	30	17	44	20	162	718	16	13	24	28	8	14	60	235	136	4	42	428	4287
910	87423	109773	109775	3	3	914	1	9	10	24	27	27	40	66	112	696	10	11	14	19	38	2	97	85	70	2	28	287	2875
911	87521	109896	109898	3	3	915	1	7	6	1	18	27	16	27	229	533	4	18	3	23	38	48	81	185	590	8	87	875	8755
912	87617	110016	110018	3	3	916	1	3	12	5	25	35	54	30	238	498	9	17	15	13	19	44	90	212	485	7	75	755	7554
913	87713	110137	110138	3	3	917	1	3	18	12	15	1	37	54	78	307	9	16	7	14	3	52	61	234	921	5	55	554	5546
914	87804	110253	110254	3	3	918	1	15	17	26	17	11	23	82	184	265	11	13	20	20	33	10	44	50	795	5	54	546	5468
915	87905	110378	110379	3	3	919	1	6	16	11	9	36	42	69	34	248	1	10	4	27	22	8	5	102	744	4	46	468	4687
916	88000	110498	110499	3	3	920	1	2	14	22	7	2	21	40	176	313	6	4	8	21	6	4	19	26	939	6	68	687	6873
917	88096	110618	110620	3	3	921	1	16	11	3	14	3	6	40	129	622	14	14	9	11	9	18	19	136	857	8	87	873	8731
918	88190	110736	110738	3	3	922	1	13	15	16	29	21	17	0	12	848	5	7	19	25	20	51	0	36	526	7	73	731	7311
919	88281	110852	110858	57	3*19	923	1	14	2	19	23	35	2	78	83	220	16	0	10	9	17	55	2	213	432	3	31	311	3115
920	88379	110974	110981	87	3*29	924	1	1	10	1	26	26	14	38	91	271	2	15	0	30	26	38	74	136	370	1	11	115	1159
921	88479	111100	111101	3	3	925	1	9	4	16	9	6	36	74	15	182	10	12	19	27	18	49	20	45	546	1	15	159	1595
922	88573	111218	111219	3	3	926	1	8	5	23	0	10	24	60	108	283	7	15	11	0	30	13	79	73	849	5	59	595	5956
923	88671	111340	111342	3	3	927	1	1	5	19	1	27	19	57	222	840	3	15	28	3	38	57	70	164	502	9	95	956	9562
924	88765	111458	111460	3	3	928	1	12	7	9	20	6	50	80	2	585	2	2	27	29	18	32	38	6	746	5	56	562	5628
925	88863	111581	111583	3	3	929	1	6	6	19	0	41	2	30	110	96	1	18	28	0	37	6	90	79	288	6	62	628	6286
926	88956	111699	111701	3	3	930	1	6	9	2	3	5	25	1	3	301	1	8	6	9	15	16	3	9	903	2	28	286	2863
927	89054	111822	111823	3	3	931	1	8	10	21	15	35	6	82	63	549	7	11	5	14	19	18	44	189	638	8	86	863	8638
928	89150	111942	111944	3	3	932	1	7	1	8	16	37	23	98	38	306	4	3	24	17	25	10	92	114	918	6	63	638	6388
929	89244	112060	112062	3	3	933	1	16	10	15	29	34	12	49	144	68	14	11	16	25	16	36	46	181	204	3	38	388	3882
930	89342	112183	112185	3	3	934	1	2	16	18	3	13	23	65	78	825	6	10	25	9	39	10	94	234	457	8	88	882	8823
931	89438	112303	112305	3	3	935	1	13	5	12	2	33	54	60	197	53	5	15	7	6	13	44	79	89	159	8	82	823	8235
932	89533	112424	112425	3	3	936	1	7	11	15	25	38	36	39	154	412	4	14	16	13	28	49	16	211	227	2	23	235	2353
933	89629	112544	112546	3	3	937	1	12	11	15	28	32	34	60	86	292	2	14	16	22	10	43	79	7	876	3	35	353	3537
934	89720	112660	112661	3	3	938	1	15	8	5	16	36	30	23	157	58	11	5	15	17	22	31	69	220	174	5	53	537	5378
935	89811	112775	112776	3	3	939	1	1	16	16	15	19	27	54	127	110	3	10	19	14	14	22	61	130	330	3	37	378	3787
936	89917	112905	112907	3	3	940	1	4	18	25	14	32	58	69	181	740	12	16	17	11	10	56	5	41	202	7	78	787	7875
937	90013	113025	113027	3	3	941	1	11	6	13	22	8	24	52	156	389	16	18	10	4	24	13	55	217	158	8	87	875	8759
938	90108	113146	113147	3	3	942	1	15	10	14	25	14	1	80	66	551	11	11	13	13	42	3	38	198	644	7	75	759	7593
939	90200	113262	113263	3	3	943	1	7	18	26	1	18	37	53	90	673	4	16	20	3	11	52	58	19	1	5	59	593	5937
940	90300	113387	113388	3	3	944	1	1	18	9	21	17	33	75	28	153	3	16	27	1	8	40	23	84	459	9	93	937	9375
941	90396	113507	113509	3	3	945	1	13	7	19	2	2	14	61	44	698	5	2	28	6	6	42	82	132	76	3	37	375	3751
942	90492	113627	113629	3	3	946	1	0	1	16	30	8	13	72	94	255	0	3	19	28	24	39	14	31	765	7	75	751	7519
943	90585	113745	113747	3	3	947	1	14	13	10	12	17	24	36	59	861	8	1	1	5	8	13	7	177	565	5	51	519	5195
944	90681	113866	113867	3	3	948	1	6	1	10	24	35	28	29	66	466	1	3	1	10	19	25	87	198	389	1	19	195	1957
945	90779	113988	113990	3	3	949	1	7	14	28	15	33	6	93	188	189	4	4	26	14	13	18	77	62	567	9	95	957	9577
946	90875	114109	114110	3	3	950	1	14	3	4	12	5	9	64	166	512	8	9	12	5	15	27	91	247	527	5	57	577	5778
947	90966	114224	114226	3	3	951	1	4	5	22	1	22	15	57	3	887	12	15	8	3	23	45	70	9	643	7	77	778	7781
948	91067	114349	114351	3	3	952	1	10	12	4	18	37	18	6	209	766	13	17	12	23	25	54	18	125	280	7	78	781	7818
949	91160	114468	114469	3	3	953	1	9	10	7	7	23	2	30	58	878	10	11	21	21	26	6	90	174	616	8	81	818	8185
950	91258	114590	114592	3	3	954	1	1	4	5	22	29	29	48	27	270	3	12	15	4	1	28	43	81	810	1	18	185	1857
951	91349	114706	114710	15	3*5	955	1	16	8	0	9	31	1	19	85	868	2	6	0	11	35	15	83	20	912	8	85	857	8577
952	91450	114831	114833	3	3	956	1	3	17	24	17	34	44	52	171	732	9	13	14	20	16	14	55	11	178	5	57	577	5778
953	91546	114951	114953	3	3	957	1	4	1	13	10	4	11	68	130	837	12	3	10	30	12	33	2	139	493	7	77	778	7780
954	91634	115064	115071	87	3*29	958	1	14	9	9	2	13	12	98	28	563	11	4	0	19	13	41	42	177	549	7	78	780	7805
955	91737	115192	115194	3	3	959	1	5	0	18	30	9	21	5	95	12	15	0	25	28	27	4	15	34	36	8	80	805	8053
956	91833	115312	115314	3	3	960	1	1	7	13	12	4	16	1	58	974	3	2	10	5	12	48	3	174	904	0	5	53	532
957	91929	115433	115434	3	3	961	1	1	6	20	15	6	31	27	243	894	3	18	2	14	18	34	81	227	664	5	53	532	5321
958	92025	115553	115555	3	3	962	1	12	6	3	30	16	25	52	21	265	2	18	9	28	5	16	55	63	795	3	32	321	3217
959	92116	115669	115670	3	3	963	1	14	16	15	13	40	23	18	48	531	8	10	16	8	34	10	54	144	584	2	21	217	2171
960	92214	115792	115793	3	3	964	1	12	15	18	1	1	12	33	223	32	2	7	25	3	3	36	99	167	96	1	17	171	1712
961	92312	115914	115916	3	3	965	1	16	14	6	3	34	14	84	229	502	14	4	18	9	16	42	50	185	497	7	71	712	7122
962	92408	116035	116036	3	3	966	1	7	15	4	30	36	49	77	39	100	4	7	12	28	22	29	29	117	300	1	12	122	1226
963	92504	116155	116157	3	3	967	1	5	13	17	22	29	3	87	198	712	15	1	22	4	1	9	59	92	118	2	22	226	2268
964	92595	116271	116272	3	3	968	1	2	12	5	9	39	11	19	78	610	6	17	15	27	31	33	57	234	821	2	26	268	2680
965	92696	116396	116397	3	3	969	1	15	2	17	14	2	6	66	30	603	11	6	22	11	6	18	97	90	800	6	68	680	6806
966	92791	116516	116518	3	3	970	1	10	7	28	9	41	49	4	145	494	13	2	26	27	37	29	12	184	473	8	80	806	8066
967	92887	116636	116638	3	3	971	1	8	12	20	23	42	33	84	4	490	7	17	2	7	40	40	50	12	461	0	6	66	661
968	92978	116752	116754	3	3	972	1	3	1	14	18	39	41	0	223	695	9	3	13	23	31	5	0	167	67	6	66	661	6613
969	93076	116875	116876	3	3	973	1	16	10	19	13	20	48	68	199	211	14	11	28	8	17	26	2	95	633	6	61	613	6130
970	93175	116997	116999	3	3	974	1	4	18	22	14	20	11	58	248	319	12	16	8	11	17	33	73	242	957	1	13	130	1300
971	93270	117118	117119	3	3	975	1	8	7	10	20	14	15	24	107	602	7	2	1	29	42	45	72	70	797	3	30	300	3001
972	93364	117236	117237	3	3	976	1	10	7	25	3	37	12	54	122	658	13	2	17	9	25	36	61	115	965	0	0	1	19
973	93462	117359	117360	3	3	977	1	2	14	5	23	12	48	33	226	121	6	4	15	7	36	26	99	176	363	0	1	19	192
974	93556	117477	117478	3	3	978	1	7	6	13	26	1	42	47	171	19	4	18	10	16	3	8	40	11	57	1	19	192	1927
975	93646	117591	117593	3	3	979	1	8	12	19	15	33	17	39	186	738	7	17	28	14	13	51	16	56	196	9	92	927	9278
976	93743	117713	117719	57	3*19	980	1	5	6	19	16	20	1	76	151	154	13	0	10	13	22	57	90	73	706	2	27	278	2787
977	93845	117840	117842	3	3	981	1	3	5	4	18	15	4	100	54	930	9	15	12	23	2	12	98	162	772	7	78	787	7876
978	93941	117960	117962	3	3	982	1	11	4	22	30	28	10	30	236	274	16	12	8	28	41	30	90	206	822	8	87	876	8766
979	94035	118078	118080	3	3	983	1	15	5	1	30	7	11	28	229	808	11	15	3	28	21	33	84	185	406	7	76	766	7661
980	94133	118201	118203	3	3	984	1	3	5	25	1	35	5	31	135	440	9	15	17	3	19	15	93	154	311	6	66	661	6611
981	94229	118321	118323	3	3	985	1	3	16	19	5	8	14	37	7	213	9	10	28	15	24	42	10	21	639	6	61	611	6111
982	94324	118442	118443	3	3	986	1	1	6	15	4	31	14	63	195	289	3	18	16	12	7	42	88	83	867	1	11	111	1119
983	94420	118562	118564	3	3	987	1	6	7	18	2	5	39	32	92	735	1	2	25	6	15	58	96	25	187	1	11	119	1195
984	94511	118678	118679	3	3	988	1	13	8	17	26	5	36	71	167	469	5	5	22	16	15	49	11	250	398	1	19	195	1959
985	94610	118801	118802	3	3	989	1	10	4	7	0	13	30	54	249	923	13	12	21	0	39	31	61	245	751	9	95	959	9590
986	94708	118923	118925	3	3	990	1	14	12	28	14	6	32	64	218	440	8	17	26	11	18	37	91	152	311	5	59	590	5909
987	94804	119044	119045	3	3	991	1	4	16	21	5	35	40	65	235	423	12	10	5	15	19	2	94	203	260	9	90	909	9092
988	94899	119164	119166	3	3	992	1	12	5	26	15	25	16	34	100	289	2	15	20	14	32	48	1	49	867	0	9	92	921
989	94986	119275	119277	3	3	993	1	2	4	20	12	18	33	32	208	987	6	12	2	5	11	40	96	122	943	9	92	921	9216
990	95091	119405	119406	3	3	994	1	6	11	24	13	18	36	8	66	911	1	14	14	8	11	49	24	198	715	2	21	216	2164
991	95187	119525	119527	3	3	995	1	1	10	7	4	5	15	56	195	368	3	11	21	12	15	45	67	83	95	1	16	164	1642
992	95283	119645	119647	3	3	996	1	9	6	21	3	38	15	63	102	934	10	18	5	9	28	45	88	55	784	6	64	642	6420
993	95376	119763	119765	3	3	997	1	8	15	8	11	22	35	67	119	749	7	7	24	2	23	46	100	106	229	4	42	420	4201
994	95472	119884	119885	3	3	998	1	6	5	17	28	31	27	82	30	638	1	15	22	22	7	22	44	90	905	2	20	201	2019
995	95570	120006	120008	3	3	999	1	8	10	0	30	41	26	66	63	167	7	11	0	28	37	19	97	189	501	0	1	19	198
996	95666	120127	120128	3	3	1000	1	7	13	23	17	36	40	46	133	812	4	1	11	20	22	2	37	148	418	1	19	198	1989
997	95759	120245	120246	3	3	1001	1	16	15	13	15	5	54	68	38	188	14	7	10	14	15	44	2	114	564	9	98	989	9893
998	95858	120368	120369	3	3	1002	1	2	7	17	10	38	54	1	179	890	6	2	22	30	28	44	3	35	652	8	89	893	8938
999	95951	120486	120487	3	3	1003	1	6	4	12	7	6	45	52	127	565	1	12	7	21	18	17	55	130	686	9	93	938	9380
1000	96049	120608	120610	3	3	1004	1	7	8	4	21	12	30	39	170	502	4	5	12	1	36	31	16	8	497	3	38	380	3809
